step,ee_x_b,ee_y_b,ee_z_b,radius_m,min_joint_margin,pose_err_m,manipulability,gripper
67,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
68,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
69,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
70,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
71,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
72,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
73,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
74,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
75,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
76,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
77,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
78,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
79,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
80,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
81,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
82,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
83,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
84,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
85,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
86,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
87,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
88,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
89,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
90,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
91,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
92,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
93,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
94,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
95,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
96,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
97,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
98,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
99,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
100,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
101,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
102,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
103,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
104,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
105,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
106,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
107,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
108,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
109,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
110,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
111,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
112,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
113,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
114,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
115,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
116,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
117,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
118,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
119,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
120,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
121,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
122,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
123,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
124,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
125,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
126,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
127,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
128,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
129,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
130,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
131,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
132,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
133,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
134,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
135,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
136,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
137,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
138,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
139,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
140,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
141,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
142,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
143,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
144,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
145,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
146,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
147,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
148,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
149,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
150,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
151,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
152,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
153,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
154,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
155,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
156,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
157,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
158,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
159,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
160,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
161,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
162,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
163,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
164,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
165,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
166,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
167,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
168,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
169,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
170,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
171,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
172,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
173,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
174,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
175,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
176,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
177,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
178,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
179,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
180,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
181,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
182,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
183,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
184,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
185,0.3998,-0.0,1.2103,0.9357,0.0595,0.0,0.01241,0.035
186,0.4018,-0.0,1.2101,0.9356,0.0601,0.0021,0.012636,0.035
187,0.4064,-0.0,1.2094,0.9354,0.0619,0.0067,0.012941,0.035
188,0.4126,-0.0,1.2084,0.9352,0.0643,0.013,0.013289,0.035
189,0.4197,-0.0,1.2071,0.9348,0.0667,0.0202,0.013645,0.035
190,0.4269,-0.0,1.2056,0.9343,0.0687,0.0275,0.013972,0.035
191,0.4336,-0.0,1.2041,0.9338,0.0701,0.0344,0.014211,0.035
192,0.4388,-0.0,1.2028,0.9332,0.0705,0.0398,0.014286,0.035
193,0.4412,-0.0,1.2021,0.9328,0.0695,0.0422,0.014202,0.035
194,0.4405,-0.0,1.202,0.9326,0.068,0.0416,0.013864,0.035
195,0.4351,-0.0,1.2029,0.9327,0.0648,0.0361,0.013326,0.035
196,0.4252,-0.0,1.2047,0.9332,0.0606,0.026,0.012693,0.035
197,0.4124,-0.0,1.2071,0.9339,0.0563,0.013,0.012046,0.035
198,0.3981,-0.0,1.2096,0.9347,0.0511,0.0018,0.011635,0.035
199,0.3876,-0.0,1.2113,0.9354,0.048,0.0122,0.011482,0.035
