radius_m,manipulability,ee_x,ee_y,ee_z
0.5551,0.043704,0.0583,0.0858,0.7697
1.0612,0.06473,0.5367,0.3634,1.2483
0.9611,0.098677,0.5722,-0.5248,1.0415
0.713,0.095432,-0.2435,-0.0441,0.7347
0.6276,0.103939,0.2895,0.6213,0.3393
0.8708,0.079375,-0.4184,-0.3909,0.5729
0.8709,0.108656,0.565,-0.7444,0.6558
0.9348,0.025917,0.2658,0.2072,1.19
0.6495,0.034711,0.5918,0.021,0.8619
0.7069,0.061799,0.63,0.3806,0.7762
1.1702,0.011834,0.3343,0.0064,1.4498
0.9998,0.062592,-0.0679,0.1774,1.1901
0.8466,0.109529,0.6296,-0.5826,0.8047
0.8454,0.111547,0.1593,0.6474,0.7999
0.7905,0.055045,0.7117,0.0898,0.951
0.7583,0.057485,-0.1708,0.2733,0.8024
0.6865,0.093754,0.3447,-0.5541,0.6878
0.7742,0.04807,0.8008,-0.1478,0.8561
1.0246,0.114791,0.142,-0.318,1.2414
0.8816,0.092028,0.9194,0.5358,0.6088
0.3728,0.069653,-0.0512,0.0249,0.389
0.2259,0.04997,0.4536,-0.1726,0.288
0.5042,0.057626,0.0055,-0.3085,0.548
0.3382,0.030766,0.2325,0.2566,0.4842
0.8152,0.082042,0.0654,0.4322,0.9264
0.3171,0.068084,0.6173,-0.0484,0.3019
0.5749,0.067114,0.786,0.0829,0.5817
0.2766,0.048742,0.5432,0.1175,0.349
0.9481,0.062619,-0.2645,-0.5795,0.7734
0.6188,0.094809,0.8778,0.2065,0.1806
0.7501,0.077537,0.045,0.6082,0.6287
0.7212,0.04814,0.0234,0.3029,0.8695
0.984,0.117108,0.0399,-0.6627,0.9609
1.0079,0.105575,0.5162,-0.3828,1.1893
0.5226,0.064559,0.207,0.4238,0.565
0.4706,0.081836,0.5848,0.3529,0.4058
0.7711,0.080987,-0.2588,0.4334,0.575
0.9109,0.079888,0.899,-0.5424,0.7105
0.9341,0.046494,0.5351,0.3752,1.1022
0.8295,0.080588,0.1173,0.1035,1.0811
1.1333,0.039331,0.2216,0.2551,1.3804
0.8188,0.058184,0.2346,0.4497,0.9585
0.9859,0.091505,-0.4284,-0.1175,0.9298
0.9599,0.048775,-0.0357,-0.7615,0.7606
0.7171,0.120388,-0.2949,0.3736,0.3953
0.373,0.045678,0.6079,-0.0984,0.4747
0.5155,0.046133,0.146,0.3301,0.64
1.1032,0.04252,-0.1833,-0.3387,1.2111
0.656,0.072993,0.7888,-0.1484,0.6977
0.7837,0.118743,0.9945,-0.123,0.6314
1.1453,0.005065,0.4803,-0.4562,1.3171
0.5721,0.114321,0.828,-0.1617,0.1169
0.8286,0.110311,0.2515,0.5913,0.8547
1.0555,0.0487,0.0902,0.6749,1.0605
0.8175,0.085947,0.6684,0.269,0.9579
0.5209,0.080386,0.2961,-0.4156,0.5983
0.5267,0.041076,0.6675,0.0993,0.6445
0.8454,0.068217,0.5876,-0.5464,0.8612
0.8299,0.029715,0.5074,-0.3085,1.0238
0.6404,0.068831,-0.1752,-0.0959,0.6976
0.6389,0.110713,0.9105,0.0157,0.4717
1.0438,0.021677,0.2336,-0.1788,1.3067
0.7864,0.080947,0.6486,0.2339,0.9445
0.6732,0.111347,-0.1713,0.4018,0.5361
0.4002,0.039917,0.0514,0.218,0.5006
0.5377,0.067067,0.4526,-0.3419,0.6694
0.4921,0.058075,0.3074,-0.4401,0.5067
0.3301,0.037821,0.5621,-0.0425,0.4786
0.8317,0.098861,0.0608,0.6756,0.6957
0.6159,0.070988,0.0776,-0.4198,0.6748
1.1287,0.035212,-0.1432,0.1429,1.3071
1.1559,0.031466,0.4767,-0.0349,1.422
0.4662,0.043291,0.7154,-0.0054,0.4944
0.9324,0.084603,-0.1661,-0.0887,1.0822
0.9465,0.075423,0.7925,-0.2589,1.0476
0.597,0.116691,0.2202,0.5877,0.3018
0.8823,0.08247,-0.0791,-0.3046,1.0169
0.7195,0.06308,0.5485,-0.0568,0.9536
0.9409,0.065675,1.048,-0.3019,0.7686
0.7557,0.103435,-0.3436,-0.2626,0.5766
1.0115,0.039314,0.2677,-0.0723,1.2886
0.9183,0.025149,0.3309,0.2829,1.1521
0.7808,0.085146,0.8108,-0.015,0.8716
0.4876,0.038644,0.1523,0.2922,0.638
0.6784,0.113721,0.6061,-0.5402,0.5613
0.9301,0.054084,0.006,0.2346,1.1292
0.7849,0.078047,0.7061,0.1966,0.9221
1.0305,0.051983,0.2887,0.4437,1.2084
0.969,0.075991,0.8544,0.4764,0.9148
0.5344,0.028062,0.3688,-0.3183,0.7065
1.1084,0.039846,0.2975,0.5831,1.2204
1.0146,0.097044,0.7465,-0.4986,1.0455
0.9714,0.044651,1.1307,0.0626,0.7814
0.4474,0.016669,0.3519,-0.1214,0.7086
0.81,0.045972,0.6193,0.4442,0.8755
0.44,0.020115,0.24,-0.2482,0.6404
0.5089,0.015482,0.1666,-0.0564,0.7678
0.8165,0.096369,-0.4824,-0.1367,0.4658
1.0542,0.060295,0.5394,0.5607,1.1382
1.0955,0.052069,0.56,0.2638,1.3105
0.9405,0.073646,0.309,0.5996,1.0017
0.7123,0.03245,-0.0776,-0.2021,0.8495
0.697,0.081626,0.8209,0.12,0.7279
0.7984,0.1114,0.6414,-0.6006,0.6865
0.3903,0.032589,0.1634,0.2181,0.5703
0.5297,0.09017,-0.2119,0.0757,0.3842
1.1447,0.041056,0.3914,0.2021,1.4025
1.0386,0.103084,0.5826,0.4388,1.1767
0.6829,0.06532,0.4649,-0.3982,0.8128
0.9794,0.068095,0.2056,-0.467,1.1373
0.8537,0.042427,0.7168,-0.3043,0.9625
0.9988,0.103577,0.9509,-0.1724,1.0197
0.9274,0.034082,0.3084,0.3264,1.1467
0.4217,0.012915,0.1734,0.0792,0.6732
1.1764,0.007032,0.4058,-0.0552,1.4506
1.1299,0.028801,0.399,-0.2808,1.3709
0.5971,0.051323,0.2398,-0.3803,0.739
1.1744,0.013145,0.5253,-0.0462,1.4321
0.9574,0.05723,0.5436,-0.3831,1.1249
0.6837,0.045626,0.2393,0.4648,0.7743
0.7421,0.075936,0.104,-0.6495,0.5872
0.8216,0.043498,-0.1254,0.158,0.9632
0.9304,0.047784,0.6144,-0.2578,1.1184
0.7764,0.086435,0.1847,0.7272,0.5157
0.7385,0.060724,-0.2912,-0.2573,0.6402
0.9413,0.070635,0.0121,0.4922,1.0262
0.7323,0.061478,0.5037,-0.4478,0.8258
0.9922,0.086709,0.226,0.011,1.2692
1.1418,0.027723,0.1309,0.3236,1.3607
0.8361,0.069583,0.4422,-0.6217,0.8249
0.548,0.094817,0.7728,0.1846,0.4868
0.7961,0.084532,0.2952,-0.7364,0.5904
0.2588,0.014854,0.2141,0.0975,0.5017
1.0167,0.057592,-0.0587,0.071,1.2279
0.7316,0.103777,0.0076,0.6604,0.3711
0.8052,0.087265,-0.3209,-0.194,0.7542
0.9689,0.082737,0.2927,0.676,0.9707
0.3653,0.018883,0.3533,-0.1792,0.596
0.7887,0.057337,0.812,0.1707,0.8553
0.9659,0.043166,0.0482,0.2352,1.1811
0.4588,0.039041,-0.08,0.0818,0.5205
1.1086,0.034883,-0.274,-0.1374,1.2181
0.9344,0.100288,0.8295,-0.4686,0.8946
1.0163,0.088541,0.2015,0.1908,1.2726
0.9799,0.07352,0.931,0.4537,0.8757
1.1451,0.013324,0.0654,-0.4147,1.3223
0.554,0.131483,0.6024,-0.4545,0.1667
0.8709,0.100191,0.0189,-0.2868,1.0535
0.9502,0.078053,0.5236,-0.2538,1.1693
1.1669,0.012068,-0.0181,0.0434,1.4014
0.8839,0.101971,0.346,0.5759,0.9462
0.4102,0.011519,0.4205,-0.0662,0.6674
0.8902,0.044379,0.0971,0.3038,1.0902
1.0345,0.024264,1.0491,0.2171,0.9601
1.0382,0.075466,0.0378,-0.3459,1.224
0.9128,0.10944,0.59,-0.259,1.1074
1.0803,0.044221,0.0794,0.1534,1.3256
0.6136,0.040233,-0.2719,0.1216,0.4596
1.1206,0.06587,0.0818,-0.1915,1.3627
0.7258,0.054885,0.4134,-0.1636,0.979
0.8478,0.09081,0.1815,0.0255,1.1188
0.4644,0.032542,0.5731,-0.1502,0.6269
0.8794,0.080492,-0.2381,-0.4036,0.8477
1.1247,0.036987,0.1192,0.2639,1.3572
1.1535,0.032761,0.0779,-0.0454,1.4109
0.4729,0.078919,0.7354,-0.1621,0.38
0.7202,0.039193,-0.0548,-0.1112,0.8966
0.7953,0.079278,0.0758,0.2989,0.9802
0.3933,0.05033,0.1566,0.3591,0.2313
1.1256,0.018958,0.261,-0.5644,1.255
1.1071,0.038472,-0.2111,0.2441,1.2297
0.9641,0.029417,-0.4354,-0.406,0.7539
0.9907,0.081343,-0.3074,0.077,1.0574
0.7845,0.098564,0.941,-0.3617,0.5592
1.1387,0.015188,0.7908,-0.149,1.2978
0.9673,0.069138,-0.1229,0.3445,1.0766
0.55,0.102902,0.7193,-0.3365,0.15
0.7051,0.116722,0.3546,-0.6701,0.5033
1.1102,0.039174,0.551,-0.0005,1.3618
0.7283,0.070752,0.0319,-0.0263,0.9562
0.5785,0.024826,0.3089,-0.2236,0.8148
0.4152,0.026082,0.5109,-0.2278,0.5595
0.8707,0.054549,-0.0998,0.3943,0.9425
0.8025,0.102068,0.9134,0.0835,0.7917
1.0389,0.094399,0.5283,-0.3001,1.2494
0.7501,0.094238,0.3526,-0.5209,0.8206
0.5268,0.062378,0.688,0.277,0.5024
0.7881,0.109806,-0.2623,0.0978,0.8214
0.9597,0.077713,0.7611,0.4797,0.9701
1.0734,0.050853,-0.1676,-0.1231,1.2381
0.9951,0.103499,0.251,0.452,1.1633
1.1775,0.011883,0.2336,-0.2221,1.435
1.129,0.021775,0.353,-0.5284,1.2782
0.5351,0.045218,0.4363,0.2313,0.7416
0.7595,0.128337,-0.0055,0.5847,0.6499
0.7886,0.078765,-0.3416,0.2521,0.6584
0.7614,0.083458,-0.1101,0.2573,0.8652
0.7016,0.062689,0.0258,-0.4031,0.7865
1.0161,0.024142,0.3151,0.0904,1.2917
0.2983,0.022944,0.4428,0.1897,0.4581
0.5706,0.024479,-0.0311,-0.0465,0.7417
0.6868,0.055806,0.0851,-0.0686,0.9286
0.8434,0.056374,-0.2136,-0.0831,0.9431
1.0557,0.051981,0.6795,-0.5887,1.073
0.8334,0.086058,0.5431,-0.1134,1.07
0.7507,0.079225,0.8076,-0.1105,0.8239
0.5859,0.060534,0.7359,-0.0969,0.6616
0.6556,0.070762,0.7343,-0.2512,0.7055
0.9258,0.097848,1.0605,0.0022,0.8099
0.7192,0.073088,0.4082,-0.5679,0.7126
0.5747,0.02776,0.5098,-0.2622,0.7489
0.9678,0.078003,-0.023,-0.2998,1.1423
0.5793,0.072315,0.7777,0.0485,0.6056
0.8195,0.072925,0.6765,0.3677,0.907
0.4603,0.040395,0.4436,-0.349,0.5487
1.1283,0.012786,0.3985,-0.5473,1.2637
0.9757,0.070144,0.7548,0.0981,1.138
1.1492,0.016136,0.0745,0.3885,1.3363
0.7407,0.08737,0.684,-0.3838,0.7875
0.7724,0.13044,-0.3209,-0.2747,0.6486
1.1135,0.028667,0.2474,-0.2055,1.3737
0.5735,0.095003,0.5271,-0.4838,0.497
0.9117,0.113953,-0.269,0.3284,0.9092
0.4396,0.041579,-0.0265,0.1154,0.5477
0.8668,0.113264,0.3452,-0.529,0.9678
1.1008,0.037093,0.1054,-0.5753,1.1999
0.4347,0.06901,-0.083,-0.0472,0.4781
0.9825,0.100922,0.254,-0.3118,1.2117
0.6723,0.064491,0.5999,0.1661,0.8581
1.0991,0.041252,-0.0743,-0.3026,1.2687
0.6305,0.063683,0.7946,0.1626,0.636
0.8843,0.114817,0.8202,0.4995,0.7899
0.9112,0.09784,0.711,0.281,1.0426
0.9262,0.040593,-0.0673,-0.0418,1.1288
0.8036,0.103066,0.8472,-0.1038,0.8612
0.7319,0.094217,0.8207,-0.5101,0.3761
0.8519,0.076697,0.0425,0.3197,1.0245
1.0638,0.097777,0.6619,0.2069,1.2585
0.9658,0.092894,0.8992,0.1951,1.0121
0.7746,0.059119,-0.1109,-0.2622,0.8825
0.3461,0.100719,0.0608,-0.1902,0.1156
0.7983,0.092715,0.302,-0.3607,0.9938
0.6337,0.039088,0.3821,0.1423,0.8914
0.6494,0.077357,-0.059,-0.312,0.7235
0.4454,0.116902,0.6957,-0.0501,0.0796
0.3487,0.078394,-0.0472,0.0212,0.2908
1.0693,0.064471,0.542,-0.3978,1.2441
0.4365,0.116722,0.0554,-0.2284,-0.0025
1.0017,0.048494,-0.0121,-0.1326,1.2228
0.6382,0.08507,0.1617,-0.543,0.592
1.0091,0.094187,0.9646,0.0587,1.0376
0.7667,0.092334,-0.3269,-0.4012,0.4699
0.9399,0.020601,0.8584,-0.649,0.6758
0.4607,0.037136,0.6044,0.136,0.597
0.842,0.025576,0.1316,0.3215,1.0378
0.4473,0.038983,0.4719,-0.2579,0.6063
0.7818,0.044782,0.2189,0.4074,0.9396
0.3826,0.031102,0.5714,0.2155,0.4382
1.1669,0.0244,0.5403,0.0539,1.4206
0.4844,0.061952,-0.1224,-0.0956,0.4971
0.8624,0.101123,0.6502,0.7015,0.6319
0.3404,0.110705,0.0548,-0.1052,0.0688
0.7477,0.09637,0.8327,0.1004,0.7963
0.9809,0.074781,0.5065,0.7161,0.9163
0.8826,0.085171,0.092,-0.6026,0.8914
0.8086,0.022416,0.6429,-0.1405,0.9999
0.8948,0.036111,0.4452,-0.3489,1.0921
0.574,0.068892,0.7132,-0.2391,0.6026
0.9842,0.081147,-0.0648,0.3652,1.1164
0.9034,0.085451,0.2868,0.1176,1.1754
0.8914,0.077249,-0.0964,-0.0997,1.0713
1.1155,0.04271,-0.0358,0.1929,1.3252
0.8552,0.14047,1.0274,0.1997,0.686
0.8119,0.144046,0.2337,0.6214,0.7964
0.5714,0.1339,0.7475,0.3566,0.2824
1.1285,0.01682,0.4593,-0.5341,1.2624
0.4825,0.079468,0.0963,-0.4254,0.1764
0.6728,0.110733,0.7447,-0.2202,0.737
1.1599,0.024327,0.1124,-0.0623,1.4227
0.744,0.13785,-0.205,-0.3878,0.6634
0.7812,0.041248,0.3497,0.7784,0.2792
0.2371,0.045615,0.1235,0.1525,0.3048
0.9761,0.112893,-0.3578,-0.203,0.9704
0.806,0.067136,0.4968,0.1867,1.0391
0.9865,0.080845,0.9665,0.3518,0.918
0.6757,0.115636,0.8055,-0.4479,0.3418
0.8053,0.067111,0.3365,-0.65,0.7561
0.9995,0.096291,-0.0541,-0.2629,1.1765
0.9414,0.031083,0.4818,-0.8286,0.6919
1.1688,0.01488,0.4408,0.2573,1.4113
0.4897,0.01849,0.5913,-0.3056,0.5322
0.5374,0.126548,0.4477,-0.5126,0.3597
0.4206,0.038001,-0.0025,0.155,0.5243
1.1605,0.018708,0.0946,-0.2335,1.3979
0.8166,0.055892,0.6237,-0.1867,1.0074
0.6611,0.064136,-0.1822,0.1879,0.6882
0.9296,0.091607,0.3127,0.7124,0.8753
1.1716,0.016946,0.2191,-0.0318,1.4482
0.9939,0.032703,0.1131,-0.0186,1.2556
0.8586,0.049783,-0.5275,-0.0306,0.4992
0.9818,0.063365,0.3541,0.415,1.1676
0.916,0.047963,-0.3505,0.5265,0.6466
0.3716,0.094642,0.3987,0.3547,0.3246
0.8008,0.103213,0.0439,0.241,0.9983
0.35,0.044951,0.5113,-0.2351,0.4354
0.9615,0.022885,-0.0297,0.7758,0.7387
0.8619,0.061364,-0.2154,0.0327,0.9684
0.4411,0.038003,0.1583,-0.2656,0.6026
0.2499,0.046988,0.5372,0.0704,0.3249
0.7618,0.123475,-0.445,0.0313,0.4253
0.8196,0.023791,1.0018,-0.4202,0.362
0.6008,0.084968,0.3956,-0.5392,0.5312
0.603,0.075172,0.6482,-0.3151,0.6614
0.7041,0.059695,0.594,-0.5726,0.5704
0.8803,0.084044,0.4771,-0.6215,0.8798
0.3601,0.114359,0.2373,0.2448,0.0238
0.2761,0.017592,0.1325,-0.0533,0.4934
0.7435,0.082236,0.9633,-0.0482,0.6111
0.6686,0.093556,0.3947,0.6571,0.2044
1.0144,0.072911,0.1072,-0.4315,1.1778
0.7247,0.04772,0.6298,0.3541,0.8188
1.0932,0.032298,0.4861,-0.4473,1.26
0.5791,0.039376,-0.0194,0.2259,0.7075
0.5563,0.12048,0.1705,-0.5361,0.3559
1.0355,0.032635,1.0115,0.291,0.9729
0.9708,0.079587,0.4447,0.6837,0.9535
1.0961,0.033263,0.7893,0.4053,1.1726
0.4793,0.027218,0.5433,0.2225,0.6271
0.8138,0.042742,0.5838,-0.2413,1.0032
0.9428,0.068064,0.2908,0.4461,1.1104
1.124,0.035537,0.3113,0.267,1.3717
0.4187,0.024202,0.0587,-0.0412,0.6203
0.6745,0.077778,0.404,0.6312,0.4927
0.4767,0.041977,0.0359,0.2442,0.5934
0.9651,0.050549,-0.0175,0.2488,1.157
0.506,0.061817,-0.1174,-0.1399,0.531
0.8224,0.096457,-0.0401,-0.1189,1.0197
0.9776,0.071403,0.1116,-0.5225,1.0848
0.7667,0.147226,-0.1511,-0.4794,0.6744
0.8122,0.145423,0.9471,0.1196,0.7549
0.8299,0.054385,0.7003,-0.4258,0.8689
0.6932,0.045466,0.3144,0.0717,0.9693
0.9301,0.080684,-0.2526,-0.4588,0.8719
0.3127,0.064077,0.1056,-0.2422,0.3223
0.9091,0.092782,0.2223,-0.5532,0.9975
0.6517,0.057427,0.618,-0.4273,0.655
0.5591,0.018594,0.442,-0.4531,0.5752
1.1099,0.011491,0.0429,0.5658,1.1997
0.686,0.073348,0.3531,0.435,0.8076
0.2941,0.090234,0.0503,0.0886,0.1508
0.4932,0.034221,0.6681,-0.0691,0.6
0.6273,0.070539,0.8992,-0.162,0.3652
0.7993,0.111723,-0.1971,0.1741,0.8819
0.8437,0.10887,0.1029,-0.5912,0.8493
1.0771,0.055722,0.6489,0.438,1.1996
0.774,0.09307,-0.0681,0.5607,0.6666
0.4048,0.036312,0.0109,-0.123,0.5363
0.79,0.104773,0.2757,-0.7689,0.4609
0.7337,0.087733,0.4284,-0.6996,0.4602
1.1667,0.008901,-0.0003,-0.1594,1.3963
0.9277,0.072078,0.6666,0.1911,1.11
0.7394,0.084904,0.0801,-0.5036,0.7753
0.8046,0.121768,1.0139,-0.2886,0.5108
0.9949,0.088609,-0.371,-0.2731,0.9629
0.6915,0.131229,0.5675,0.6171,0.4387
0.9289,0.087344,-0.2039,0.2152,1.0306
1.1422,0.02377,0.3658,0.4503,1.3275
0.7697,0.086814,0.5106,-0.3009,0.9563
0.917,0.056244,0.2477,0.5169,1.0356
0.4678,0.075385,-0.0339,0.3049,0.4015
0.3731,0.056013,0.3312,-0.3572,0.3837
1.0264,0.070496,0.4564,-0.0584,1.2926
1.1726,0.011728,0.4019,0.1422,1.4394
0.9138,0.091044,-0.3415,0.3031,0.8568
1.1144,0.010394,-0.3084,0.0075,1.2142
0.5833,0.103586,-0.2055,0.1966,0.4965
0.8162,0.081875,0.3046,0.4206,0.9794
0.5954,0.061356,-0.161,0.1219,0.6375
0.7136,0.025218,-0.0375,-0.1693,0.886
0.3236,0.039207,0.4505,0.2462,0.4252
0.991,0.054824,1.099,-0.0819,0.8595
1.0348,0.072577,0.0506,-0.132,1.2759
0.5665,0.074414,0.7556,-0.1778,0.5646
0.56,0.036683,0.1714,0.3079,0.7299
0.6208,0.067101,0.4586,-0.417,0.7116
0.9046,0.116523,-0.4714,0.1207,0.7382
0.749,0.071903,0.1845,0.2939,0.9592
0.9093,0.045258,0.0725,0.2533,1.1233
0.9762,0.048452,0.8912,-0.5621,0.8155
0.5668,0.052058,-0.0295,0.4336,0.4382
0.2949,0.052554,0.0082,0.022,0.3224
0.7357,0.083455,0.4736,0.3965,0.8745
1.0023,0.048015,-0.0977,0.0502,1.1991
1.1059,0.051448,0.2691,-0.5308,1.2498
1.065,0.04839,0.9365,0.2236,1.1034
0.7421,0.110908,0.8661,0.0392,0.7572
0.6161,0.120396,-0.287,-0.1724,0.1998
0.7641,0.056726,0.1613,-0.3293,0.9557
0.503,0.064967,0.7795,0.1471,0.3036
0.5056,0.08047,0.6367,-0.3279,0.4653
1.0479,0.018906,0.1695,0.0985,1.3152
0.5626,0.092441,0.0312,0.4762,0.413
1.0259,0.100527,0.3298,-0.1192,1.2985
0.9296,0.090365,0.7665,-0.3977,0.9784
1.115,0.031388,0.2125,0.5646,1.2374
0.6386,0.073472,0.5347,0.5899,0.3441
0.659,0.115415,-0.2669,0.3126,0.4069
0.729,0.068083,0.5659,-0.1024,0.9507
0.9213,0.071814,0.0465,-0.056,1.1642
0.7145,0.080619,0.4051,-0.3381,0.9006
0.9629,0.062485,0.175,0.6386,0.9897
1.0551,0.053985,0.8107,-0.218,1.1767
0.4554,0.070895,0.1341,-0.3922,0.4427
0.5666,0.040747,0.4535,0.363,0.6865
0.8795,0.086501,0.5788,-0.6412,0.8133
0.8446,0.060955,0.7852,-0.1084,0.9622
1.0765,0.044227,0.0613,-0.0629,1.328
0.9243,0.096387,-0.3292,-0.43,0.8042
0.5527,0.042758,0.4266,0.3226,0.7102
0.6899,0.119264,0.4566,-0.6656,0.3718
1.0391,0.067161,0.5379,-0.4625,1.1795
1.0362,0.060921,0.9759,-0.1134,1.0565
0.7632,0.089829,0.4173,0.7378,0.4341
0.711,0.056097,0.4761,0.117,0.9585
0.9495,0.05447,0.0079,0.4169,1.0817
0.8686,0.111818,0.686,-0.318,0.9897
0.9961,0.07387,0.5273,-0.5937,1.0468
0.9138,0.057768,0.568,-0.1098,1.1465
0.8478,0.085496,0.186,-0.7301,0.6962
0.9573,0.052361,0.2214,0.8279,0.7539
0.5787,0.024205,0.1892,-0.0057,0.8481
0.9346,0.073112,-0.1752,-0.0853,1.0808
0.9266,0.059094,-0.2345,-0.212,1.0073
1.0091,0.094567,0.7565,-0.0877,1.1752
0.3602,0.087527,0.2738,0.359,0.2793
0.8316,0.071864,0.2971,-0.5682,0.8874
0.3911,0.075273,0.5159,-0.3013,0.4037
0.9317,0.05289,0.5986,-0.7864,0.6805
0.4541,0.04522,0.4669,-0.3695,0.4841
1.1251,0.061683,0.372,-0.1997,1.3849
0.3381,0.01694,0.3251,0.1934,0.556
0.966,0.068412,0.569,-0.114,1.2006
1.0236,0.060653,0.0446,0.3411,1.2108
0.416,0.02462,0.2322,-0.2509,0.6051
0.9443,0.079522,-0.4815,-0.0558,0.8085
0.5862,0.040232,0.5286,0.1939,0.7833
0.9258,0.069533,-0.2665,0.1816,0.99
0.8563,0.08055,-0.1312,-0.5259,0.8013
1.07,0.039934,0.2942,0.1458,1.34
0.4193,0.032602,-0.0129,-0.0214,0.5593
0.971,0.087252,0.87,-0.4692,0.9102
0.1798,0.048494,0.4783,-0.0158,0.2795
0.7362,0.031002,-0.0602,0.4251,0.7616
0.5228,0.068184,0.0164,0.3454,0.5519
0.7362,0.086672,0.811,0.47,0.5224
0.4042,0.083549,0.5937,-0.251,0.3972
0.4369,0.015651,0.4783,0.0579,0.6743
0.6751,0.09648,-0.0426,0.266,0.7977
0.1695,0.047024,0.3865,0.1447,0.2896
0.9598,0.088401,0.4796,0.7733,0.8188
0.8677,0.052344,-0.3203,0.554,0.5289
1.0121,0.068359,0.6005,0.4562,1.1316
0.8907,0.080912,0.1393,-0.4986,1.0008
0.8793,0.05222,-0.2858,0.6018,0.5419
1.0105,0.070793,0.2813,0.5077,1.1534
0.8131,0.03782,0.6864,-0.1737,0.9736
0.5654,0.073277,0.5694,0.3779,0.6019
0.9354,0.058202,-0.1471,0.3891,1.0041
0.9401,0.080608,-0.2523,0.2418,1.0019
0.9183,0.077006,1.0361,0.2322,0.7762
0.9187,0.082453,-0.3558,-0.4286,0.7611
0.7529,0.110473,-0.2987,0.1904,0.6961
0.907,0.091047,-0.246,0.0235,1.0045
0.67,0.052994,-0.1925,0.3766,0.5353
0.6484,0.084854,0.4288,-0.6055,0.473
1.061,0.057297,0.9033,0.0264,1.1518
0.7686,0.088003,0.7711,-0.0479,0.8848
0.6181,0.087183,0.1903,0.5866,0.4405
1.0233,0.012199,0.7136,0.6824,0.9199
1.1524,0.039767,0.588,-0.1254,1.3885
0.8437,0.103005,0.0787,0.4666,0.9473
0.7995,0.110544,0.8948,-0.2779,0.7352
0.8242,0.087543,-0.3534,-0.2875,0.6935
1.0455,0.100055,0.1819,-0.3678,1.2517
0.4662,0.025939,0.1828,-0.2641,0.6463
0.2388,0.031944,0.0936,0.0744,0.3758
0.7519,0.081132,0.7313,-0.3821,0.7624
0.9548,0.076135,0.5573,0.2373,1.168
1.1293,0.035644,0.3506,-0.4113,1.3305
1.0348,0.058545,1.0032,0.0487,1.0367
0.4067,0.102657,0.6728,-0.1571,0.3138
0.4312,0.026482,-0.0177,-0.1382,0.538
0.6608,0.075414,-0.2335,-0.3816,0.3663
0.6488,0.107949,-0.1547,-0.3362,0.5995
0.7562,0.101854,0.2397,0.6545,0.6537
0.6796,0.101943,0.7005,-0.3975,0.6579
0.6376,0.104784,0.9096,0.1825,0.3021
1.0028,0.101775,0.759,-0.2193,1.1438
0.7571,0.089128,0.2203,-0.4782,0.8617
0.6365,0.062024,-0.0149,-0.2684,0.7644
1.0567,0.04496,0.3721,-0.1788,1.3189
0.9144,0.08503,0.9535,-0.3709,0.8001
0.6604,0.094806,0.7629,0.1995,0.7057
1.0043,0.098616,0.8155,0.1913,1.1199
1.0539,0.044055,0.0386,-0.2023,1.281
0.9461,0.055875,-0.2732,-0.596,0.7411
0.4741,0.123403,0.4883,-0.4066,0.1254
0.871,0.072528,-0.2489,-0.0136,0.9569
1.1006,0.040234,0.0784,0.3119,1.312
0.9476,0.02607,0.0785,-0.137,1.1914
0.7151,0.081624,0.4526,0.521,0.7449
0.9325,0.112996,0.1743,-0.4292,1.0985
0.378,0.017348,0.4463,-0.1269,0.6043
0.8331,0.081844,0.499,-0.0232,1.0884
0.4653,0.048537,0.6605,-0.1154,0.5496
0.909,0.099198,0.108,-0.6226,0.9144
0.3215,0.052334,0.2698,-0.3113,0.3558
1.0902,0.05281,0.2082,0.2729,1.3315
0.6858,0.078616,0.7466,-0.3946,0.6186
0.8508,0.056276,0.2796,-0.5883,0.8945
0.8093,0.091103,-0.4677,-0.2143,0.425
0.959,0.046749,-0.0334,0.7569,0.7657
0.9176,0.058232,-0.1806,0.6861,0.6551
0.6997,0.099504,0.3069,-0.6154,0.6131
1.144,0.03198,0.6489,-0.2369,1.3432
0.5172,0.089335,0.5224,0.4456,0.4174
1.0235,0.070142,-0.0449,0.1935,1.2243
1.02,0.108954,-0.0457,-0.3534,1.1726
0.3809,0.064245,0.636,-0.1423,0.3867
0.8342,0.106375,0.3135,0.4723,0.9673
0.7371,0.070732,0.3654,-0.61,0.6888
0.7942,0.132264,-0.1541,0.3682,0.818
1.0153,0.099326,0.0439,-0.1611,1.2495
0.8474,0.051251,-0.2533,0.1422,0.9066
1.1415,0.02608,-0.0403,0.1346,1.3615
0.8316,0.100392,0.1258,0.1975,1.069
0.5141,0.081069,0.7652,0.1036,0.4706
0.7689,0.088504,0.5148,0.7096,0.4823
0.5636,0.016187,0.4029,-0.4673,0.5778
1.0117,0.014696,-0.2245,0.6198,0.8842
0.4049,0.038687,0.3589,-0.3215,0.5191
0.536,0.056963,-0.0841,0.0473,0.6517
0.8919,0.110888,0.2794,0.2966,1.1209
0.8499,0.118585,0.6476,0.6375,0.7206
0.9537,0.047186,0.2467,0.3576,1.1625
0.8748,0.130786,-0.4209,-0.0609,0.7732
0.8442,0.073174,-0.3364,0.084,0.8294
0.8922,0.037766,-0.0804,0.2371,1.0517
0.9363,0.075477,0.8686,-0.2789,0.969
1.0249,0.069833,0.9502,0.0367,1.0707
0.5179,0.097073,-0.1633,0.0737,0.501
