radius_m,manipulability,ee_x,ee_y,ee_z
0.8306,0.074165,0.3244,0.8064,0.4474
1.0527,0.073571,0.0947,-0.6515,1.0874
0.4329,0.077975,-0.1235,0.0434,0.375
0.9971,0.027683,0.5722,-0.7777,0.8485
0.2247,0.035421,0.1701,0.1408,0.3937
1.0053,0.070011,-0.2153,-0.1894,1.1262
0.9198,0.085017,-0.0467,-0.3935,1.041
1.0678,0.047529,0.2394,-0.1678,1.3341
0.201,0.062877,0.4133,0.1479,0.2277
0.7709,0.067123,0.3986,0.5381,0.8157
0.4856,0.024583,0.6737,-0.2024,0.5139
0.4284,0.05608,-0.1146,-0.1286,0.2928
0.8527,0.091536,0.151,-0.567,0.9062
0.729,0.083872,0.9266,-0.367,0.3426
0.8961,0.045791,-0.0056,0.2737,1.076
0.8374,0.029602,0.0526,0.2522,1.0383
0.594,0.108888,0.6127,0.4639,0.1041
0.7974,0.117148,-0.4632,-0.0568,0.5191
0.586,0.038301,0.5613,0.0647,0.7976
0.8897,0.08655,0.0194,-0.5894,0.8927
0.0847,0.041929,0.2174,-0.0385,0.2813
1.0901,0.038167,0.3109,-0.5648,1.2163
1.1575,0.022667,0.2073,0.3428,1.38
0.8452,0.03893,-0.108,0.106,1.0139
0.45,0.087592,0.7109,-0.171,0.3364
0.8805,0.100214,0.6622,0.0907,1.0748
0.9184,0.093002,0.2101,-0.8102,0.7162
1.0691,0.050188,0.1606,0.6433,1.118
0.6547,0.076872,-0.0856,0.2614,0.7396
0.4899,0.023168,0.4909,-0.0476,0.7275
0.8627,0.056583,0.1613,-0.2946,1.082
0.7644,0.103391,0.6586,-0.5507,0.676
1.0655,0.031763,0.0992,0.0979,1.3219
0.3972,0.11203,0.3957,-0.3695,0.153
0.6676,0.060269,-0.113,-0.1709,0.7815
0.8977,0.04404,0.5665,-0.3509,1.0637
0.9692,0.071585,0.3644,-0.5689,1.0665
0.6073,0.112037,-0.0853,0.4661,0.2833
0.9531,0.082997,0.1243,-0.6143,0.9939
