ep,step,t_ms,x,y,yaw_deg,holding,tgt_x,tgt_y,dist,lin,ang,move
0,57,5700.0,-7.4805,8.7637,78.0,1,-6.0,-12.0,20.8164,0.0,1.0,0.0113
0,58,5800.0,-7.483,8.7681,86.5,1,-6.0,-12.0,20.821,0.0,1.0,0.0051
0,59,5900.0,-7.4834,8.7684,95.1,1,-6.0,-12.0,20.8213,0.0,1.0,0.0004
0,60,6000.0,-7.4837,8.7686,103.7,1,-6.0,-12.0,20.8215,0.0,1.0,0.0003
0,61,6100.0,-7.4905,8.7792,112.0,1,-6.0,-12.0,20.8326,0.0,1.0,0.0127
0,62,6200.0,-7.5057,8.7981,119.8,1,-6.0,-12.0,20.8525,0.0,1.0,0.0242
0,63,6300.0,-7.5286,8.8192,127.4,1,-6.0,-12.0,20.8752,0.0,1.0,0.0311
0,64,6400.0,-7.5409,8.827,135.8,1,-6.0,-12.0,20.8839,0.0,1.0,0.0146
0,65,6500.0,-7.5421,8.8282,144.5,1,-6.0,-12.0,20.8852,0.0,1.0,0.0017
0,66,6600.0,-7.5424,8.8281,153.1,1,-6.0,-12.0,20.8851,0.0,1.0,0.0003
0,67,6700.0,-7.5427,8.8279,161.7,1,-6.0,-12.0,20.885,0.0,1.0,0.0003
0,68,6800.0,-7.543,8.8277,170.3,1,-6.0,-12.0,20.8848,0.0,1.0,0.0003
0,69,6900.0,-7.5433,8.8275,179.0,1,-6.0,-12.0,20.8846,0.0,1.0,0.0003
0,70,7000.0,-7.5435,8.8272,-172.4,1,-6.0,-12.0,20.8843,0.0,1.0,0.0003
0,71,7100.0,-7.5436,8.8269,-163.8,1,-6.0,-12.0,20.884,-0.6,0.8,0.0003
0,72,7200.0,-7.4915,8.8468,-156.9,1,-6.0,-12.0,20.9001,-0.6,0.8,0.0558
0,73,7300.0,-7.4079,8.8803,-150.0,1,-6.0,-12.0,20.9277,-0.6,0.8,0.09
0,74,7400.0,-7.3286,8.9236,-143.0,1,-6.0,-12.0,20.9658,-0.6,0.8,0.0904
0,75,7500.0,-7.255,8.9762,-136.1,1,-6.0,-12.0,21.0137,-0.6,0.8,0.0904
0,76,7600.0,-7.1883,9.0372,-129.2,1,-6.0,-12.0,21.0708,-0.6,0.8,0.0904
0,77,7700.0,-7.1294,9.1058,-122.3,1,-6.0,-12.0,21.136,-0.6,0.8,0.0904
0,78,7800.0,-7.0792,9.181,-115.4,1,-6.0,-12.0,21.2085,-0.6,0.8,0.0904
0,79,7900.0,-7.0384,9.2617,-108.5,1,-6.0,-12.0,21.2871,-0.6,0.8,0.0904
0,80,8000.0,-7.0077,9.3467,-101.6,1,-6.0,-12.0,21.3705,-0.6,0.8,0.0904
0,81,8100.0,-6.9873,9.4348,-94.7,1,-6.0,-12.0,21.4575,-0.6,0.8,0.0904
0,82,8200.0,-6.9777,9.5247,-87.8,1,-6.0,-12.0,21.5469,-0.6,0.8,0.0904
0,83,8300.0,-6.979,9.6151,-80.9,1,-6.0,-12.0,21.6373,0.994,-0.228,0.0904
0,84,8400.0,-6.9589,9.6512,-82.7,1,-6.0,-12.0,21.6724,0.997,-0.165,0.0413
0,85,8500.0,-6.9391,9.5792,-84.1,1,-6.0,-12.0,21.5996,0.998,-0.118,0.0747
0,86,8600.0,-6.9232,9.434,-85.2,1,-6.0,-12.0,21.4539,0.999,-0.083,0.146
0,87,8700.0,-6.9101,9.2841,-85.9,1,-6.0,-12.0,21.3036,0.999,-0.08,0.1504
0,88,8800.0,-6.8989,9.1341,-86.6,1,-6.0,-12.0,21.1532,0.998,-0.118,0.1505
0,89,8900.0,-6.8895,8.984,-87.6,1,-6.0,-12.0,21.0028,0.991,-0.272,0.1504
0,90,9000.0,-6.8825,8.8347,-89.9,1,-6.0,-12.0,20.8534,0.0,-1.0,0.1494
0,91,9100.0,-6.8806,8.7398,-98.5,1,-6.0,-12.0,20.7585,0.0,-1.0,0.0949
0,92,9200.0,-6.8808,8.7287,-107.1,1,-6.0,-12.0,20.7474,0.0,-1.0,0.0111
0,93,9300.0,-6.8812,8.7285,-115.7,1,-6.0,-12.0,20.7472,0.0,-1.0,0.0004
0,94,9400.0,-6.8815,8.7284,-124.3,1,-6.0,-12.0,20.7472,0.0,-1.0,0.0003
0,95,9500.0,-6.8818,8.7284,-133.0,1,-6.0,-12.0,20.7472,0.0,-1.0,0.0003
0,96,9600.0,-6.8822,8.7285,-141.6,1,-6.0,-12.0,20.7472,0.0,-1.0,0.0003
0,97,9700.0,-6.8825,8.7286,-150.2,1,-6.0,-12.0,20.7473,0.0,-1.0,0.0003
0,98,9800.0,-6.8828,8.7287,-158.8,1,-6.0,-12.0,20.7475,0.0,-1.0,0.0003
0,99,9900.0,-6.8831,8.7289,-167.5,1,-6.0,-12.0,20.7477,-0.6,0.8,0.0003
0,100,10000.0,-6.8335,8.7473,-161.1,1,-6.0,-12.0,20.764,-0.6,0.8,0.0529
0,101,10100.0,-6.7479,8.7747,-154.2,1,-6.0,-12.0,20.7882,-0.6,0.8,0.0899
0,102,10200.0,-6.6656,8.8121,-147.3,1,-6.0,-12.0,20.8228,-0.6,0.8,0.0904
0,103,10300.0,-6.5884,8.8592,-140.3,1,-6.0,-12.0,20.8675,-0.6,0.8,0.0904
0,104,10400.0,-6.5174,8.9151,-133.4,1,-6.0,-12.0,20.9215,-0.6,0.8,0.0904
0,105,10500.0,-6.4536,8.9793,-126.5,1,-6.0,-12.0,20.9842,-0.6,0.8,0.0904
0,106,10600.0,-6.398,9.0506,-119.6,1,-6.0,-12.0,21.0543,-0.6,0.8,0.0904
0,107,10700.0,-6.3514,9.128,-112.7,1,-6.0,-12.0,21.131,-0.6,0.8,0.0904
0,108,10800.0,-6.3145,9.2106,-105.8,1,-6.0,-12.0,21.2129,-0.6,0.8,0.0904
0,109,10900.0,-6.2878,9.2969,-98.9,1,-6.0,-12.0,21.2989,-0.6,0.8,0.0904
0,110,11000.0,-6.2716,9.3859,-92.0,1,-6.0,-12.0,21.3876,-0.6,0.8,0.0904
0,111,11100.0,-6.2662,9.4761,-85.1,1,-6.0,-12.0,21.4778,0.997,-0.147,0.0904
0,112,11200.0,-6.2538,9.5116,-86.2,1,-6.0,-12.0,21.5131,0.999,-0.107,0.0376
0,113,11300.0,-6.2435,9.4391,-87.2,1,-6.0,-12.0,21.4405,0.999,-0.076,0.0733
0,114,11400.0,-6.2356,9.2933,-87.8,1,-6.0,-12.0,21.2946,1.0,-0.047,0.1461
0,115,11500.0,-6.2296,9.1428,-88.2,1,-6.0,-12.0,21.1441,0.998,0.123,0.1505
0,116,11600.0,-6.225,8.9925,-87.2,1,-6.0,-12.0,20.9937,0.981,0.389,0.1504
0,117,11700.0,-6.2186,8.8444,-83.9,1,-6.0,-12.0,20.8455,0.933,0.738,0.1483
0,118,11800.0,-6.2228,8.7399,-77.9,1,-6.0,-12.0,20.7411,0.0,1.0,0.1046
0,119,11900.0,-6.2376,8.7382,-69.4,1,-6.0,-12.0,20.7396,0.839,1.0,0.0149
0,120,12000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7351,0.884,0.973,0.006
0,121,12100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7351,0.884,0.973,0.0
0,122,12200.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,123,12300.0,-6.2413,8.7339,-62.2,1,-6.0,-12.0,20.7353,0.885,0.97,0.0003
0,124,12400.0,-6.2414,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0002
0,125,12500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7351,0.884,0.973,0.0002
0,126,12600.0,-6.2414,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0002
0,127,12700.0,-6.2416,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,128,12800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,129,12900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,130,13000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,131,13100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,132,13200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,133,13300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,134,13400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,135,13500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,136,13600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,137,13700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,138,13800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,139,13900.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,140,14000.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,141,14100.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,142,14200.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,143,14300.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,144,14400.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,145,14500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,146,14600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,147,14700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,148,14800.0,-6.2416,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,149,14900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,150,15000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,151,15100.0,-6.2416,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,152,15200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,153,15300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,154,15400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,155,15500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,156,15600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,157,15700.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,158,15800.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,159,15900.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,160,16000.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,161,16100.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,162,16200.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,163,16300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,164,16400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,165,16500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,166,16600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,167,16700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,168,16800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,169,16900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,170,17000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,171,17100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,172,17200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,173,17300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,174,17400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,175,17500.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,176,17600.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,177,17700.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,178,17800.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,179,17900.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,180,18000.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,181,18100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,182,18200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,183,18300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,184,18400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,185,18500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
