step,t,a_base_lin,a_base_ang,a_ee_dx,a_ee_dy,a_ee_dz,a_grip,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,base_roll_deg,base_pitch_deg,base_yaw_deg,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_base_x,ee_base_y,ee_base_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,gripper,holding,grasp_event,drop_event,goal_x,goal_y,goal_z,reward,slope_reward,terminated,truncated,contact_force_n,q_dummy_base_prismatic_x_joint,q_dummy_base_prismatic_y_joint,q_dummy_base_revolute_z_joint,q_panda_joint1,q_panda_joint2,q_panda_joint3,q_panda_joint4,q_panda_joint5,q_panda_joint6,q_panda_joint7,q_panda_finger_joint1,q_panda_finger_joint2,qd_dummy_base_prismatic_x_joint,qd_dummy_base_prismatic_y_joint,qd_dummy_base_revolute_z_joint,qd_panda_joint1,qd_panda_joint2,qd_panda_joint3,qd_panda_joint4,qd_panda_joint5,qd_panda_joint6,qd_panda_joint7,qd_panda_finger_joint1,qd_panda_finger_joint2
10,4.3809,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
11,4.7594,-5.0,0.0,0.0,0.0,0.0,1.0,0.83395,11.81404,0.0,0.977809,0.0,-0.0,-0.209497,0.0,-0.0,-24.186,1.76244,11.39707,0.93292,0.03724,0.962234,-0.206144,0.173851,0.92849,-0.41698,0.93292,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-0.057478,-0.0,-3.6e-05,2.6e-05,0.59864,1.3e-05,-0.722543,1e-06,1.678673,0.785401,0.035,0.035,-1.106113,-1.7e-05,-2.6e-05,-0.000223,1.763205,0.00014,1.830963,3.8e-05,2.575139,-5.6e-05,-2e-06,2e-06
12,5.1273,0.0,0.0,0.0,0.0,0.0,1.0,0.78454,11.83623,0.0,0.977813,0.0,-0.0,-0.209481,0.0,-0.0,-24.184,1.74044,11.40695,0.94486,0.062013,0.933984,-0.200094,0.289466,0.9559,-0.42928,0.94486,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02116,,0,0,0.0,-0.111634,-0.0,-3e-06,-6e-06,0.699055,1e-06,-0.60285,2e-06,1.90298,0.785399,0.035,0.035,-0.076827,8e-06,0.000144,3.4e-05,1.108391,-5.6e-05,1.554882,-2.7e-05,2.610002,4e-06,-2e-06,2e-06
13,5.5085,0.0,0.0,0.0,0.0,0.0,1.0,0.78343,11.83673,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74027,11.40704,0.94849,0.064959,0.92961,-0.199152,0.303224,0.95684,-0.42969,0.94849,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112855,-0.0,-0.0,1e-06,0.694751,2e-06,-0.611367,1e-06,1.936723,0.785399,0.035,0.035,-0.000696,1e-06,1e-06,-1e-06,-0.108969,-5e-06,-0.136276,-4e-06,-0.220252,-2e-06,-2e-06,2e-06
14,5.8703,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74001,11.40715,0.94911,0.065067,0.929445,-0.199117,0.303729,0.9566,-0.42959,0.94911,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693809,2e-06,-0.611672,1e-06,1.937171,0.785399,0.035,0.035,-3.6e-05,-0.0,-0.0,7e-06,0.002094,3e-06,0.003814,1e-06,0.00665,0.0,-2e-06,2e-06
15,6.219,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929439,-0.199115,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-2e-06,0.0,0.0,-4e-06,-6e-05,-2e-06,-6.4e-05,-0.0,-5.2e-05,-0.0,-2e-06,2e-06
16,6.5798,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-1e-06,0.0,-0.0,1.4e-05,-0.0,2e-05,0.0,-2e-06,2e-06
17,6.93,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-3e-06,-0.0,2e-06,-0.0,0.0,0.0,-2e-06,2e-06
18,7.2876,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-1e-06,-0.0,1e-06,-0.0,0.0,0.0,-2e-06,2e-06
19,7.6414,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-1e-06,-0.0,0.0,-0.0,0.0,0.0,-2e-06,2e-06
